"Date","Hour","Active followers"
"6月6日","0","68"
"6月6日","1","38"
"6月6日","2","26"
"6月6日","3","18"
"6月6日","4","15"
"6月6日","5","24"
"6月6日","6","56"
"6月6日","7","93"
"6月6日","8","73"
"6月6日","9","87"
"6月6日","10","81"
"6月6日","11","92"
"6月6日","12","116"
"6月6日","13","111"
"6月6日","14","103"
"6月6日","15","110"
"6月6日","16","98"
"6月6日","17","114"
"6月6日","18","108"
"6月6日","19","124"
"6月6日","20","129"
"6月6日","21","140"
"6月6日","22","139"
"6月6日","23","117"
"6月7日","0","89"
"6月7日","1","58"
"6月7日","2","27"
"6月7日","3","12"
"6月7日","4","12"
"6月7日","5","19"
"6月7日","6","45"
"6月7日","7","68"
"6月7日","8","84"
"6月7日","9","88"
"6月7日","10","112"
"6月7日","11","121"
"6月7日","12","112"
"6月7日","13","105"
"6月7日","14","109"
"6月7日","15","115"
"6月7日","16","130"
"6月7日","17","132"
"6月7日","18","139"
"6月7日","19","146"
"6月7日","20","152"
"6月7日","21","152"
"6月7日","22","147"
"6月7日","23","115"
"6月8日","0","85"
"6月8日","1","41"
"6月8日","2","19"
"6月8日","3","13"
"6月8日","4","8"
"6月8日","5","23"
"6月8日","6","67"
"6月8日","7","105"
"6月8日","8","51"
"6月8日","9","42"
"6月8日","10","39"
"6月8日","11","33"
"6月8日","12","53"
"6月8日","13","50"
"6月8日","14","48"
"6月8日","15","82"
"6月8日","16","97"
"6月8日","17","108"
"6月8日","18","139"
"6月8日","19","142"
"6月8日","20","156"
"6月8日","21","148"
"6月8日","22","153"
"6月8日","23","123"
"6月9日","0","78"
"6月9日","1","28"
"6月9日","2","23"
"6月9日","3","17"
"6月9日","4","13"
"6月9日","5","30"
"6月9日","6","71"
"6月9日","7","103"
"6月9日","8","57"
"6月9日","9","33"
"6月9日","10","38"
"6月9日","11","35"
"6月9日","12","55"
"6月9日","13","45"
"6月9日","14","45"
"6月9日","15","62"
"6月9日","16","92"
"6月9日","17","119"
"6月9日","18","134"
"6月9日","19","131"
"6月9日","20","141"
"6月9日","21","155"
"6月9日","22","147"
"6月9日","23","119"
"6月10日","0","77"
"6月10日","1","46"
"6月10日","2","19"
"6月10日","3","14"
"6月10日","4","20"
"6月10日","5","26"
"6月10日","6","92"
"6月10日","7","112"
"6月10日","8","53"
"6月10日","9","42"
"6月10日","10","41"
"6月10日","11","36"
"6月10日","12","42"
"6月10日","13","55"
"6月10日","14","51"
"6月10日","15","86"
"6月10日","16","92"
"6月10日","17","104"
"6月10日","18","140"
"6月10日","19","124"
"6月10日","20","133"
"6月10日","21","144"
"6月10日","22","151"
"6月10日","23","112"
"6月11日","0","70"
"6月11日","1","30"
"6月11日","2","17"
"6月11日","3","11"
"6月11日","4","9"
"6月11日","5","27"
"6月11日","6","79"
"6月11日","7","116"
"6月11日","8","53"
"6月11日","9","32"
"6月11日","10","31"
"6月11日","11","35"
"6月11日","12","46"
"6月11日","13","53"
"6月11日","14","49"
"6月11日","15","76"
"6月11日","16","102"
"6月11日","17","115"
"6月11日","18","112"
"6月11日","19","135"
"6月11日","20","152"
"6月11日","21","153"
"6月11日","22","145"
"6月11日","23","114"
"6月12日","0","84"
"6月12日","1","48"
"6月12日","2","19"
"6月12日","3","12"
"6月12日","4","11"
"6月12日","5","26"
"6月12日","6","87"
"6月12日","7","118"
"6月12日","8","49"
"6月12日","9","0"
"6月12日","10","0"
"6月12日","11","0"
"6月12日","12","0"
"6月12日","13","0"
"6月12日","14","0"
"6月12日","15","0"
"6月12日","16","0"
"6月12日","17","0"
"6月12日","18","0"
"6月12日","19","0"
"6月12日","20","0"
"6月12日","21","0"
"6月12日","22","0"
"6月12日","23","0"
