"Date","Followers","Difference in followers from previous day"
"6月12日","0","0"
"6月13日","0","2"
"6月14日","2","0"
"6月15日","2","4"
"6月16日","6","4"
"6月17日","10","10"
"6月18日","20","1"
"6月19日","21","0"
"6月20日","21","4"
"6月21日","25","0"
"6月22日","25","1"
"6月23日","26","1"
"6月24日","27","8"
"6月25日","35","5"
"6月26日","40","1"
"6月27日","41","1"
"6月28日","42","0"
"6月29日","42","2"
"6月30日","44","2"
"7月1日","46","0"
"7月2日","46","4"
"7月3日","50","0"
"7月4日","50","0"
"7月5日","50","0"
"7月6日","50","0"
"7月7日","50","0"
"7月8日","50","3"
"7月9日","53","0"
"7月10日","53","0"
"7月11日","53","0"
"7月12日","53","2"
"7月13日","55","2"
"7月14日","57","1"
"7月15日","58","1"
"7月16日","59","2"
"7月17日","61","0"
"7月18日","61","1"
"7月19日","62","0"
"7月20日","62","-1"
"7月21日","61","2"
"7月22日","63","0"
"7月23日","63","1"
"7月24日","64","-1"
"7月25日","63","0"
"7月26日","63","0"
"7月27日","63","1"
"7月28日","64","1"
"7月29日","65","1"
"7月30日","66","-1"
"7月31日","65","1"
"8月1日","66","1"
"8月2日","67","0"
"8月3日","67","1"
"8月4日","68","0"
"8月5日","68","0"
"8月6日","68","0"
"8月7日","68","0"
"8月8日","68","0"
"8月9日","68","1"
"8月10日","69","1"
"8月11日","70","1"
"8月12日","71","0"
"8月13日","71","0"
"8月14日","71","0"
"8月15日","71","0"
"8月16日","71","0"
"8月17日","71","2"
"8月18日","73","0"
"8月19日","73","1"
"8月20日","74","0"
"8月21日","74","0"
"8月22日","74","1"
"8月23日","75","0"
"8月24日","75","3"
"8月25日","78","2"
"8月26日","80","0"
"8月27日","80","1"
"8月28日","81","1"
"8月29日","82","0"
"8月30日","82","2"
"8月31日","84","2"
"9月1日","86","3"
"9月2日","89","1"
"9月3日","90","1"
"9月4日","91","-1"
"9月5日","90","4"
"9月6日","94","2"
"9月7日","96","2"
"9月8日","98","6"
"9月9日","104","1"
"9月10日","105","2"
"9月11日","107","1"
"9月12日","108","3"
"9月13日","111","1"
"9月14日","112","1"
"9月15日","113","2"
"9月16日","115","2"
"9月17日","117","2"
"9月18日","119","1"
"9月19日","120","1"
"9月20日","121","1"
"9月21日","122","1"
"9月22日","123","3"
"9月23日","126","1"
"9月24日","127","2"
"9月25日","129","0"
"9月26日","129","1"
"9月27日","130","-1"
"9月28日","129","1"
"9月29日","130","0"
"9月30日","130","1"
"10月1日","131","0"
"10月2日","131","1"
"10月3日","132","-1"
"10月4日","131","3"
"10月5日","134","1"
"10月6日","135","1"
"10月7日","136","1"
"10月8日","137","-1"
"10月9日","136","0"
"10月10日","136","2"
"10月11日","138","-1"
"10月12日","137","2"
"10月13日","139","0"
"10月14日","139","-1"
"10月15日","138","0"
"10月16日","138","0"
"10月17日","138","2"
"10月18日","140","3"
"10月19日","143","-1"
"10月20日","142","1"
"10月21日","143","0"
"10月22日","143","0"
"10月23日","143","0"
"10月24日","143","1"
"10月25日","144","0"
"10月26日","144","2"
"10月27日","146","0"
"10月28日","146","2"
"10月29日","148","-1"
"10月30日","147","0"
"10月31日","147","2"
"11月1日","149","2"
"11月2日","151","1"
"11月3日","152","3"
"11月4日","155","2"
"11月5日","157","2"
"11月6日","159","4"
"11月7日","163","2"
"11月8日","165","6"
"11月9日","171","2"
"11月10日","173","4"
"11月11日","177","7"
